id,text,scale,reverse
A1-01,У меня тяжёлое заболевание,severity,0
A1-02,Часто чувствую слабость,severity,0
A2-01,Болезнь помогает избегать обязанностей,secondary_gain,0
A3-01,Стараюсь не показывать, что я болею,hide_resist,0
A4-01,Я должен упорно трудиться,work_escape,0
A5-01,Моё будущее кажется печальным,low_selfesteem,0
A5-02,Я верю в Бога,low_selfesteem,1
A6-01,Верю в эффективность гомеопатии/остеопатии,alt_med,0
A7-01,Я воздерживаюсь от алкоголя,addictions,1
A7-02,Я не курю,addictions,1
A8-01,Надеюсь, что организм сам справится,ignore,0
A9-01,Почти всегда тревожусь,anxiety,0
