id,text,scale,reverse
1,У меня тяжёлое заболевание,severity,false
2,Часто чувствую слабость,severity,false
3,Болезнь помогает избегать обязанностей,secondary_gain,false
4,Стараюсь не показывать, что я болею,hide_resist,false
5,Я должен упорно трудиться,work_escape,false
6,Моё будущее кажется печальным,low_selfesteem,false
7,Я верю в Бога,low_selfesteem,true
8,Верю в эффективность гомеопатии/остеопатии,alt_med,false
9,Я воздерживаюсь от алкоголя,addictions,true
10,Я не курю,addictions,true
11,Надеюсь, что организм сам справится,ignore,false
12,Почти всегда тревожусь,anxiety,false
13,Болезнь ограничивает мою жизнь,severity,false
14,Мне легче получить поддержку, когда я болею,secondary_gain,false
15,Скрываю симптомы от близких,hide_resist,false
16,Работа помогает мне забыть о болезни,work_escape,false
17,Я часто виню себя в болезни,low_selfesteem,false
18,Молитва помогает мне справиться,low_selfesteem,true
19,Предпочитаю народные средства,alt_med,false
20,Я полностью отказался от вредных привычек,addictions,true
21,Не хожу к врачам, пока не станет совсем плохо,ignore,false
22,Постоянно беспокоюсь о своём здоровье,anxiety,false
23,Болезнь делает меня беспомощным,severity,false
24,Благодаря болезни я могу отдыхать,secondary_gain,false
25,Не рассказываю о диагнозе знакомым,hide_resist,false
26,Спорт отвлекает меня от проблем со здоровьем,work_escape,false
27,Я не заслуживаю выздоровления,low_selfesteem,false
28,Вера даёт мне силы,low_selfesteem,true
29,Доверяю только натуральным препаратам,alt_med,false
30,Я веду здоровый образ жизни,addictions,true
31,Лечение не нужно, всё пройдёт само,ignore,false
32,Часто просыпаюсь от кошмаров о болезни,anxiety,false
33,Болезнь разрушает мои планы,severity,false
34,Близкие больше внимания уделяют мне,secondary_gain,false
35,Стыжусь своей болезни,hide_resist,false
36,Карьера важнее здоровья,work_escape,false
37,Я сам виноват в своих проблемах,low_selfesteem,false
38,Духовность помогает мне выздороветь,low_selfesteem,true
39,Официальная медицина неэффективна,alt_med,false
40,Я контролирую все свои привычки,addictions,true
41,Не стоит тратить время на лечение,ignore,false
