id,question_text,option_id,option_text,ptype
1,"You are characterized by",1,"Increased sensitivity",sensitive
1,"You are characterized by",2,"Tendency to low mood",dysthymic
1,"You are characterized by",3,"Mood variability",cyclothymic
1,"You are characterized by",4,"Great strength of feelings and drives",excitable
1,"You are characterized by",5,"Periodic ups and downs of mood",cyclothymic
1,"You are characterized by",6,"Duration of experiences",stuck
1,"You are characterized by",7,"Restraint of feelings",pedantic
1,"You are characterized by",8,"Concealment of your true experiences",anxious
1,"You are characterized by",9,"Elevated mood",hyperthymic
2,"You often",1,"Worry about your health",sensitive
2,"You often",2,"Criticize yourself",dysthymic
2,"You often",3,"Demonstrate your feelings",demonstrative
2,"You often",4,"Don't restrain yourself",excitable
2,"You often",5,"Are either energetic or lethargic",cyclothymic
2,"You often",6,"Are stubborn",stuck
2,"You often",7,"Doubt when making decisions",pedantic
2,"You often",8,"Limit your contacts with others",anxious
2,"You often",9,"Easily get carried away by new things",hyperthymic
3,"You strive for",1,"Rest",sensitive
3,"You strive for",2,"Meeting the requirements of others",dysthymic
3,"You strive for",3,"Arousing interest in yourself",demonstrative
3,"You strive for",4,"Immediate achievement of desired",excitable
3,"You strive for",5,"Acting under the influence of current mood",cyclothymic
3,"You strive for",6,"Constancy and superiority",stuck
3,"You strive for",7,"Safety",pedantic
3,"You strive for",8,"Maintaining some solitude",anxious
3,"You strive for",9,"Change",hyperthymic
4,"You find it difficult in situations of",1,"High loads",sensitive
4,"You find it difficult in situations of",2,"Failures or criticism",dysthymic
4,"You find it difficult in situations of",3,"When you are not noticed",demonstrative
4,"You find it difficult in situations of",4,"Obstacles or forced waiting",excitable
4,"You find it difficult in situations of",5,"Necessity to regularly maintain high activity level",cyclothymic
4,"You find it difficult in situations of",6,"Inconstancy or disrespect from others",stuck
4,"You find it difficult in situations of",7,"Threats, possible errors, lack of information or time",pedantic
4,"You find it difficult in situations of",8,"Large number of contacts",anxious
4,"You find it difficult in situations of",9,"Large number of restrictions",hyperthymic
5,"You are capable of",1,"'Going into illness'",sensitive
5,"You are capable of",2,"Sacrificing your interests",dysthymic
5,"You are capable of",3,"Making an impression",demonstrative
5,"You are capable of",4,"Acting quickly without thinking",excitable
5,"You are capable of",5,"Sometimes acting intensively, sometimes experiencing apathy",cyclothymic
5,"You are capable of",6,"Overcoming a large number of obstacles",stuck
5,"You are capable of",7,"Thinking everything through beforehand",pedantic
5,"You are capable of",8,"Imagination and fantasy",anxious
5,"You are capable of",9,"Acting actively",hyperthymic
6,"Often you feel",1,"Fatigue, weakness or pain",sensitive
6,"Often you feel",2,"Sadness or guilt",dysthymic
6,"Often you feel",3,"Desire to show yourself",demonstrative
6,"Often you feel",4,"Anger or indignation",excitable
6,"Often you feel",5,"Either cheerfulness or depression",cyclothymic
6,"Often you feel",6,"Distrust of others",stuck
6,"Often you feel",7,"Anxiety and uncertainty",pedantic
6,"Often you feel",8,"Loneliness",anxious
6,"Often you feel",9,"Joy",hyperthymic
7,"You know how to",1,"Subtly feel the state of your body",sensitive
7,"You know how to",2,"Take responsibility on yourself",dysthymic
7,"You know how to",3,"Please others",demonstrative
7,"You know how to",4,"Attack the opponent",excitable
7,"You know how to",5,"Ignore rigid restrictions and requirements",cyclothymic
7,"You know how to",6,"Make demands on other people",stuck
7,"You know how to",7,"Maintain order and accuracy",pedantic
7,"You know how to",8,"Focus on your thoughts",anxious
7,"You know how to",9,"Maintain a wide circle of contacts",hyperthymic
